Tilda UID;Brand;SKU;Mark;Category;Title;Price;Quantity;External ID;Parent UID;Weight;Length;Width;Height;Unit;Portion;Url
4,27084E+11;;LV-0,7x17-10;;"Лента монтажная;Все категории";"Лента-пластина крепежная ""Волна"" 0,7х17 10м";231.93;20;2944ff21-7a39-11ee-8885-e43d1a180a17;;574;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/427083699282-lenta-plastina-krepezhnaya-volna-07h17-1
8,20761E+11;;LP-0,7x12-5;;"Лента монтажная;Все категории";Лента-пластина крепежная прямая 0,7х12 5м;97.32;32;96781127-7a3e-11ee-8885-e43d1a180a17;;228;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/820761072402-lenta-plastina-krepezhnaya-pryamaya-07h1
1,89077E+11;;LP-0,7x17-5;;"Лента монтажная;Все категории";Лента-пластина крепежная прямая 0,7х17 5м;130.92;7;44febf28-7a3f-11ee-8885-e43d1a180a17;;512;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/189076966782-lenta-plastina-krepezhnaya-pryamaya-07h1
1,59145E+11;;S-OS-PS-OS-4,2x51;;"Саморез;Все категории";Саморез с прессшайбой 4,2х51 мм;0.77;2360;9c26148b-8de7-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/159144931852-samorez-s-pressshaiboi-42h51-mm
5,58272E+11;;KU-135-95х95х86х1,7;;"Уголок крепёжный;Все категории";Уголок крепежный под 135 градусов 95х95х86х1,7 мм;51.72;83;30e426d7-885b-11ee-95a7-e43d1a17f1f9;;0;0;0;0;;0;http://droxmar.ru/ugolki/tproduct/558272219622-ugolok-krepezhnii-pod-135-gradusov-95h95
6,12304E+11;;S-E-4,2x70;;"Саморез;Все категории";Саморез по дереву 4,2х70;���.26;23327;30f3145f-8deb-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/612304185772-samorez-po-derevu-42h70
2,49884E+11;;KP-100х35х2,0;;"Пластина;Все категории";Пластина крепёжная 100х35х2,0 мм;���.18;96;2cd98016-4f15-11ef-95a9-e43d1a17f1f9;;40;0;0;0;PCE;1;http://droxmar.ru/plastina/tproduct/249884406382-plastina-krepyozhnaya-100h35h20-mm
7,81911E+11;;KU-45х45х30х1,7;;"Уголок крепёжный;Все категории";Уголок крепежный 45х45х30х1,7 мм;���.98;914;f49af1c8-87a7-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/781911139952-ugolok-krepezhnii-45h45h30h17-mm
6,49693E+11;;OKB-L-84х335х130х4;;"Основание колонны бруса;Все категории";Основание колонны бруса тип L 84х335х130х4;426.53;33;76ec6a1a-8858-11ee-95a7-e43d1a17f1f9;;1070;0;0;0;PCE;1;http://droxmar.ru/okb/tproduct/649692660642-osnovanie-kolonni-brusa-tip-l-84h335h130
9,83477E+11;;LP-0,8x20-10;;"Лента монтажная;Все категории";Лента-пластина крепежная прямая 0,8х20 10м;332.38;10;52baf038-7a40-11ee-8885-e43d1a180a17;;1058;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/983476634162-lenta-plastina-krepezhnaya-pryamaya-08h2
1,04464E+11;;OB-U-40x140x1,0;Распродажа!;"Опора балки;Опора бруса;Все категории;Акция";Опора балки 40х140х1,0 мм;94.08;49;88076cc3-8488-11ee-95a7-e43d1a17f1f9;;236;0;0;0;PCE;1;http://droxmar.ru/opora/tproduct/104463665182-opora-balki-40h140h10-mm
5,23413E+11;;KU-85х85х37х1,7;;"Уголок крепёжный;Все категории";Уголок крепежный 85х85х37х1,7 мм;19.17;300;27d11e43-87a8-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/523413020682-ugolok-krepezhnii-85h85h37h17-mm
6,08495E+11;;S-E-3,5x51;Хит!;"Саморез;Все категории";Саморез по дереву 3,5х51;0.68;9373;28f7bb29-8dea-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/608495113122-samorez-po-derevu-35h51
7,61795E+11;;GS-2,5х50;;Гвоздь;Гвоздь 2х25;155.15;9;dddb2400-9b41-11ee-8886-e43d1a180a17;;0;0;0;0;KGM;1;http://droxmar.ru/tproduct/761795437092-gvozd-2h25
9,02685E+11;;OBr-Z-100х200х2,0;;"Опора бруса;Все категории";"Опора бруса ""Закрытая"" 100х200х2,0";151.16;55;c55b3d55-8532-11ee-95a7-e43d1a17f1f9;;548;0;0;0;PCE;1;http://droxmar.ru/opora/tproduct/902685327842-opora-brusa-zakritaya-100h200h20
7,61994E+11;;OBr-O-40х170х2,0;;"Опора бруса;Все категории";"Опора бруса ""Открытая"" 40х170х2,0";108.58;84;e40ed82b-852d-11ee-95a7-e43d1a17f1f9;;440;0;0;0;PCE;1;http://droxmar.ru/opora/tproduct/761994005932-opora-brusa-otkritaya-40h170h20
4,34103E+11;;S-OS-PS-OS-4,2x25;;"Саморез;Все категории";Саморез с прессшайбой 4,2х25 мм;0.58;17550;35fe6f75-8de7-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/434103139742-samorez-s-pressshaiboi-42h25-mm
9,88739E+11;;KU-Z-45х90х65х1,7;;"Уголок крепёжный;Все категории";Уголок крепежный Z-образный 45х90х65х1,7 мм;33.34;139;07813d4a-885c-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/988739459312-ugolok-krepezhnii-z-obraznii-45h90h65h17
6,12195E+11;;T-250x30x20x1;;"Кронштейн крепёжный;Все категории";Кронштейн Т-образный 250x30x20x1;133.98;244;5f468c3f-83b1-11ee-8885-e43d1a180a17;;258;0;0;0;PCE;1;http://droxmar.ru/kronshtein/tproduct/612194709422-kronshtein-t-obraznii-250x30x20x1
5,41066E+11;;PR-L-30х30х2000х1,8;;"Профиль;Все категории";Профиль монтажный L-образный 30х30х2000х1,8 ОЦ;346.49;26;95f1ea57-a8eb-11f0-888d-e43d1a180a17;;1180;0;0;0;PCE;1;http://droxmar.ru/profil/tproduct/541065535062-profil-montazhnii-l-obraznii-30h30h2000h
3,09704E+11;;KU-S-60х220х2,0;;"Уголок крепёжный;Все категории";Уголок крепежный скользящий 60х220х2,0 мм;104.60;132;365692f8-a16a-11ee-8886-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/309703958952-ugolok-krepezhnii-skolzyaschii-60h220h20
2,43037E+11;;S-OS-PS-CO-4,2x51;;"Саморез;Все категории";Саморез с прессшайбой 4,2х51 мм;0.99;3460;89843530-8de8-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/243036608072-samorez-s-pressshaiboi-42h51-mm
2,84467E+11;;LP-0,5x20-5;;"Лента монтажная;Все категории";Лента-пластина крепежная прямая 0,5х20 5м;108.88;14;9cf025c6-7a3d-11ee-8885-e43d1a180a17;;312;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/284466590822-lenta-plastina-krepezhnaya-pryamaya-05h2
5,04242E+11;;S-B-4,2x75;;"Саморез;Все категории";Саморез по дереву 4,2х75;���.22;6150;4862a82e-8deb-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/504241882842-samorez-po-derevu-42h75
8,68613E+11;;PS-200х300х2,0;;"Пластина;Все категории";Пластина соединительная 200х300х2,0 мм;204.90;20;0dfaa26f-8864-11ee-95a7-e43d1a17f1f9;;862;0;0;0;PCE;1;http://droxmar.ru/plastina/tproduct/868613385382-plastina-soedinitelnaya-200h300h20-mm
3,20583E+11;;PP-60х27х290х0,8;;"Подвес прямой;Все категории";ПП 60х27х290х0,8;���.60;0;b78e43cd-78b0-11ee-8885-e43d1a180a17;;56;0;0;0;PCE;1;http://droxmar.ru/podves/tproduct/320582595852-pp-60h27h290h08
7,90414E+11;;KO-125х1,0х22;;"Круг отрезной;Все категории";Круг отрезной по металлу и н/с 125х1,0х22;29.99;101;11b4491f-855e-11ef-95a9-e43d1a17f1f9;;36;0;0;0;PCE;1;http://droxmar.ru/krug/tproduct/790413536342-krug-otreznoi-po-metallu-i-ns-125h10h22
1,58529E+11;;S-R-NS-6х1000;Хит!;"Шпилька;Все категории";Шпилька резьбовая нерж. А2 DIN975 6х1000;127.01;64;f27946ce-8abc-11ee-8885-e43d1a180a17;;174;0;0;0;PCE;1;http://droxmar.ru/shpilka/tproduct/158528555842-shpilka-rezbovaya-nerzh-a2-din975-6h1000
